Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Mask,Attenuator,Clock Shift,Half Dev,Toronto,Toronto RPTs,Business,Sudbury,Music & News,Citizen,INT HAM,BANK 8,BANK 9,BANK10,BANK11,BANK12,BANK13,BANK14,BANK15,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,BANK23,BANK24,Comment,User CTCSS,S-Meter Squelch,Bell,Internet,
64,90.30000,90.30000, ,Simplex,Auto,CJBC-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
65,91.10000,91.10000, ,Simplex,Auto,CJRT-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
66,91.90000,91.90000, ,Simplex,Auto,CHIN-1-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
67,92.50000,92.50000, ,Simplex,Auto,CKIS-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
68,93.50000,93.50000, ,Simplex,Auto,CFXJ-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
69,94.10000,94.10000, ,Simplex,Auto,CBL-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
70,95.90000,95.90000, ,Simplex,Auto,CJKX-FM-2,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
71,96.30000,96.30000, ,Simplex,Auto,CFMZ-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
72,96.90000,96.90000, ,Simplex,Auto,CKHC-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
73,97.30000,97.30000, ,Simplex,Auto,CHBM-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
74,98.10000,98.10000, ,Simplex,Auto,CHFI-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
75,98.70000,98.70000, ,Simplex,Auto,CKFG-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
76,99.10000,99.10000, ,Simplex,Auto,CBLA-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
77,99.90000,99.90000, ,Simplex,Auto,CKFM-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
