Channel Number,Receive Frequency,Transmit Frequency,Offset Direction,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,RX DCS,Comment,
73,146.97,146.37,-,VE3TJR,T SQL,162.2,162.2,23,23,Peterborough,
385,146.895,146.295,-,VE3RTR,T SQL,88.5,162.2,23,23,Peterborough,
473,443.575,448.575,+,VE3SSF,None,88.5,88.5,23,23,Peterborough ,
472,147.36,147.96,+,VE3SSF,T SQL,162.2,162.2,23,23,Peterborough Fleming College,
146,146.625,146.025,-,VE3PBO,T SQL,162.2,162.2,23,23,Peterborough Kawarthas,
291,444.575,449.575,+,VA3PBO,T SQL,162.2,162.2,23,23,Peterborough Sherbrook water tower,
344,146.73,146.13,-,VE3TJU,T SQL,118.8,118.8,23,23,Picton,
155,146.82,146.22,-,VE3PER,None,88.5,88.5,23,23,Port Elgin,
284,444.525,449.525,+,VE3OBI,Tone,103.5,88.5,23,23,Raglan,
133,145.23,144.63,-,VE3XXL,Tone,131.8,88.5,23,23,Richmond,
275,444.225,449.225,+,VE3YRC,T SQL,88.5,103.5,23,23,Richmond Hill,
178,147.165,147.765,+,VE3RAC,Tone,107.2,88.5,23,23,Ridgeway,
58,145.47,144.87,-,K2OAD,Tone,127.3,88.5,23,23,Ripley,
6,29.68,29.58,-,N2HJD,Tone,123,88.5,23,23,Rochester,
7,53.33,52.33,-,N2HJD,Tone,123,88.5,23,23,Rochester,
8,53.43,52.43,-,WR2AHL,None,88.5,88.5,23,23,Rochester,
9,53.63,52.63,-,WR2AHL,None,88.5,88.5,23,23,Rochester,
12,224.58,222.98,-,N2HJD,Tone,110.9,88.5,23,23,Rochester,
369,444.4,449.4,+,W2RFC,Tone,110.9,88.5,23,23,Rochester,
370,444.85,449.85,+,WB2KAO,T SQL,110.9,110.9,23,23,Rochester,
433,146.79,146.19,-,K2SA,Tone,110.9,88.5,23,23,Rochester,
440,1288,1268,-,,None,88.5,88.5,23,23,Rochester,
443,442.8,447.8,+,N2HJD,T SQL,110.9,110.9,23,23,Rochester,
445,146.925,147.525,-,N2HJD,T SQL,110.9,110.9,23,23,Rochester,
446,29.68,29.58,-,,T SQL,123,123,23,23,Rochester,
461,444.9,449.9,+,,Tone,110.9,88.5,23,23,Rochester Baker Hill,
395,146.61,146.01,-,N2MPE,Tone,110.9,88.5,23,23,Rochester Cobbs Hill,
432,146.88,146.28,-,K2RRA,Tone,110.9,88.5,23,23,Rochester Monroe County EOC Building,
355,147.075,147.675,+,K2GXT,T SQL,110.9,110.9,23,23,Rochester RIT,
356,442.0745,447.0745,+,K2GXT,T SQL,110.9,110.9,23,23,Rochester RIT,
441,444.7,449.7,+,N2HJD,T SQL,110.9,110.9,23,23,Rochester Senica Towers,
30,51.64,50.64,-,KD2WA,Tone,107.2,88.5,23,23,Royalton,
194,147.375,147.975,+,VE3SDF,Tone,114.8,88.5,23,23,Saint Marys,
285,444.525,449.525,+,VE3SDF,Tone,114.8,88.5,23,23,Saint Marys,
298,444.825,449.825,+,VE3WZL,T SQL,123,123,23,23,Saltford,
407,444.475,449.475,+,W3GFD,Tone,186.2,88.5,23,23,Scandia,
74,146.94,146.34,-,VE3TOR,Tone,103.5,88.5,23,23,Scarborough,
140,145.37,144.77,-,VE3CTV,None,88.5,88.5,23,23,Scarborough,
206,224.78,223.18,-,VE3RAL,None,88.5,88.5,23,23,Scarborough,
252,443.35,448.35,+,VE3RTC,Tone,131.8,88.5,23,23,Scarborough,
265,443.75,448.75,+,VA3GTU,Tone,103.5,88.5,23,23,Scarborough,
268,443.825,448.825,+,VA3HKG,Tone,88.5,88.5,23,23,Scarborough,
350,146.745,146.145,-,VE3RTC,Tone,136.5,88.5,23,23,Scarborough,
200,224.44,222.84,-,VE3PPO,None,88.5,88.5,23,23,Scotland,
312,53.23,52.23,-,VE3PPO,None,88.5,88.5,23,23,Scotland,
216,442.05,447.05,+,VA3BDX,None,88.5,88.5,23,23,Selkirk,
78,146.685,146.085,-,VE3ZAP,Tone,88.5,88.5,23,23,Shelburne,
109,443.625,448.625,+,VE3DRC,Tone,88.5,88.5,23,23,Shelburne,
33,53.61,52.61,-,WB2EDV,Tone,127.3,88.5,23,23,Sherman,
160,146.925,146.325,-,VE3SME,T SQL,131.8,131.8,23,23,Simcoe Norfolk County,
301,444.9,449.9,+,VA3WIK,T SQL,156.7,156.7,23,23,Singhampton,
11,224.46,222.86,-,NR2M,Tone,110.9,88.5,23,23,South Bristol,
205,224.78,223.18,-,VE3STR,Tone,114.8,88.5,23,23,St Thomas,
267,443.825,448.825,+,VE3STR,None,88.5,88.5,23,23,St Thomas,
357,147.33,147.93,+,VE3STR,Tone,114.8,88.5,23,23,St Thomas,
462,444.375,449.375,+,VA3SMX,T SQL,114.8,114.8,23,23,St. Marys,
362,444.3,449.3,+,KD2HVC,None,88.5,88.5,23,23,Stanley,
361,146.88,146.28,-,K2HE,T SQL,127.3,127.3,23,23,Stockton,
192,147.345,147.945,+,VE3OBP,Tone,131.8,88.5,23,23,Stoney Creek,
230,442.525,447.525,+,VE3UHM,T SQL,103.5,103.5,23,23,Stoney Creek,
131,145.15,144.55,-,VE3RFC,Tone,114.8,88.5,23,23,Stratford,
305,444.975,449.975,+,VE3FCG,Tone,114.8,88.5,23,23,Stratford,
97,147.24,147.84,+,VE3NRS,Tone,107.2,88.5,23,23,Thorold,
132,145.19,144.59,-,VE3RAF,Tone,107.2,88.5,23,23,Thorold,
221,442.25,447.25,+,VE3RAF,Tone,107.2,88.5,23,23,Thorold,
264,443.725,448.725,+,VA3RFM,Tone,107.2,88.5,23,23,Thorold,
375,146.625,146.025,-,KB3EAR,Tone,131.8,88.5,23,23,Tioga Jackson Summit,
85,145.23,144.63,-,VE3OBN,Tone,103.5,88.5,23,23,Toronto,
105,442.75,447.75,+,VE3WOO,Tone,103.5,88.5,23,23,Toronto,
119,1250,1230,-,VE3YYZ,None,88.5,88.5,23,23,Toronto,
122,1284,1264,-,VA3GTU,Tone,103.5,88.5,23,23,Toronto,
126,1287.5,1267.5,-,VE3YYZ,None,88.5,88.5,23,23,Toronto,
128,145.11,144.51,-,VE3WOO,Tone,82.5,88.5,23,23,Toronto,
129,145.13,144.53,-,VA3GTU,T SQL,103.5,103.5,23,23,Toronto,
163,146.985,146.385,-,VE3SKY,T SQL,103.5,103.5,23,23,Toronto,
197,224.3,222.7,-,VA3WHQ,Tone,103.5,88.5,23,23,Toronto,
199,224.4,222.8,-,VE3KRC,Tone,103.5,88.5,23,23,Toronto,
209,224.84,223.24,-,VE3UKW,None,88.5,88.5,23,23,Toronto,
213,224.98,223.38,-,VE3TTR,None,88.5,88.5,23,23,Toronto,
218,442.175,447.175,+,VA3UKW,Tone,136.5,88.5,23,23,Toronto,
226,442.375,447.375,+,VA3GTU,Tone,103.5,88.5,23,23,Toronto,
232,442.6,447.6,+,VE3CAY,Tone,103.5,88.5,23,23,Toronto,
233,442.65,447.65,+,VA3GTU,Tone,100,88.5,23,23,Toronto,
241,442.975,447.975,+,VA3GTU,Tone,103.5,88.5,23,23,Toronto,
244,443.05,448.05,+,VE3YYZ,T SQL,103.5,103.5,23,23,Toronto,
246,443.1,448.1,+,VE3SKI,None,88.5,88.5,23,23,Toronto,
261,443.65,448.65,+,VE3NOR,Tone,103.5,88.5,23,23,Toronto,
282,444.475,449.475,+,VE3URU,Tone,103.5,88.5,23,23,Toronto,
294,444.7,449.7,+,VE3RAK,Tone,103.5,88.5,23,23,Toronto,
299,444.85,449.85,+,VE3UKW,Tone,136.5,88.5,23,23,Toronto,
314,53.35,52.35,-,VA3GTU,Tone,103.5,88.5,23,23,Toronto,
320,442.7,447.7,+,VE3YYZ,None,88.5,88.5,23,23,Toronto,
321,147.18,147.78,+,VE3YYZ,None,88.5,88.5,23,23,Toronto,
328,144.94,145.54,+,VE3YYZ,None,88.5,88.5,23,23,Toronto,
334,443.025,448.025,+,VA3SCR,Tone,103.5,88.5,23,23,Toronto,
337,444.45,449.45,+,VA3BMI,Tone,103.5,88.5,23,23,Toronto,
340,53.39,52.39,-,VA3ECT,,88.5,88.5,23,23,Toronto,
345,146.94,146.34,-,VE3TOR,Tone,103.5,88.5,23,23,Toronto,
425,443.4,448.4,+,VE3ELB,Tone,131.8,88.5,23,23,Toronto,
465,442.4125,447.4125,+,VA3SLU,None,88.5,88.5,23,23,Toronto,
257,443.5,448.5,+,VE3NIB,Tone,103.5,88.5,23,23,Toronto  1st Canadian Pl,
81,145.41,144.81,-,VE3TWR,T SQL,103.5,103.5,23,23,Toronto CN Tower,
279,444.4,449.4,+,VE3TWR,T SQL,103.5,103.5,23,23,Toronto CN Tower,
110,443.9,448.9,+,VE3WOO,Tone,127.3,88.5,23,23,Toronto First Canadian Pl,
397,444.6375,449.6375,+,VE3YYZ,None,88.5,88.5,23,23,Toronto First Canadian Pl,
421,442.3375,447.3375,+,VA3XPR,None,88.5,88.5,23,23,Toronto First Canadian Place,
296,444.775,449.775,+,VA3ATL,Tone,110.9,88.5,23,23,Toronto Four Season Hotel and Residences,
376,441.95,446.95,+,VA3XPR,None,88.5,88.5,23,23,Toronto St. James Town,
428,443.3875,448.3875,+,VA3XPS,None,88.5,88.5,23,23,Toronto St. Jamestown neighbourhood,
123,1285,1265,-,VE3VGA,None,88.5,88.5,23,23,Tottenham,
82,145.37,144.77,-,VE3RNU,None,88.5,88.5,23,23,Tweed,
147,146.67,146.07,-,VE3PIC,Tone,67,88.5,23,23,Uxbridge,
210,224.86,223.26,-,VE3RPT,Tone,103.5,88.5,23,23,Uxbridge,
214,29.62,29.52,-,VE3TFM,Tone,103.5,88.5,23,23,Uxbridge,
249,443.225,448.225,+,VE3RPT,None,88.5,88.5,23,23,Uxbridge,
89,147.06,147.66,+,VE3RPT,T SQL,103.5,103.5,23,23,Uxbridge Skyloft,
103,442.1,447.1,+,VE3RPT,Tone,103.5,88.5,23,23,Uxbridge Skyloft,
124,1286,1266,-,VE3RPT,Tone,103.5,88.5,23,23,Uxbridge Skyloft,
306,53.03,52.03,-,VE3SIX,Tone,103.5,88.5,23,23,Uxbridge Skyloft,
474,145.25,144.65,-,VE3RPT,None,88.5,88.5,23,23,Uxbridge Skyloft,
266,443.775,448.775,+,VE3JOP,Tone,103.5,88.5,23,23,Vaughan,
68,145.41,144.81,-,N2HJD,Tone,110.9,88.5,23,23,Victor Baker Hill,
120,1283.5,1263.5,-,VE3VSC,Tone,131.8,88.5,23,23,Vinemount,
293,444.65,449.65,+,VE3VSC,Tone,131.8,88.5,23,23,Vinemount,
229,442.5,447.5,+,VE3KJR,None,88.5,88.5,23,23,Wainfleet,
287,444.55,449.55,+,VE3HJ,Tone,131.8,88.5,23,23,Waterford,
398,145.43,144.83,-,KE3JP,None,88.5,88.5,23,23,Waterford,
401,146.82,146.22,-,W3GV,Tone,186.2,88.5,23,23,Waterford,
406,443.95,448.95,+,KF8YF,Tone,100,88.5,23,23,Waterford,
125,1287,1267,-,VE3WWW,Tone,131.8,88.5,23,23,Waterloo,
171,147.09,147.69,+,VE3WFM,Tone,131.8,88.5,23,23,Waterloo,
185,147.24,147.84,+,VE3TBF,None,88.5,88.5,23,23,West Guilford,
24,147.105,147.705,+,N2FQN,Tone,141.3,88.5,23,23,Wethersfield,
59,145.17,144.57,-,K2ISO,Tone,110.9,88.5,23,23,Wethersfield,
60,146.64,146.04,-,K2XZ,,88.5,88.5,23,23,Wethersfield,
61,147.315,147.915,+,WA2CAM,Tone,141.3,88.5,23,23,Wethersfield,
55,146.73,146.13,-,KD2GBR,,88.5,88.5,23,23,Wheatfield,
368,444.8375,449.8375,+,KD2GBR,None,88.5,88.5,23,23,Wheatfield,
167,146.97,146.37,-,VA3SUP,Tone,156.7,88.5,23,23,Whitby,
176,147.15,147.75,+,VE3WOM,Tone,103.5,88.5,23,23,Whitby,
203,224.66,223.06,-,VA3UYP,Tone,103.5,88.5,23,23,Whitby,
256,443.475,448.475,+,VE3WOM,Tone,103.5,88.5,23,23,Whitby,
277,444.375,449.375,+,VE3WOQ,Tone,103.5,88.5,23,23,Whitby,
464,443.075,448.075,+,VE3WWD,None,88.5,88.5,23,23,Whitechurch,
240,442.875,447.875,+,VA3OHR,T SQL,131.8,131.8,23,23,Woodstock,
271,443.925,448.925,+,VE3WHR,Tone,131.8,88.5,23,23,Woodstock,
