Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
467.61250,0.00000,,General Public Use Family Radio Service,10FRS,FRS Ch 10,,FMN,M,Other
467.62500,0.00000,,General Public Use General Mobile Repeater Service GMRS,Common Use,467.6250,,FMN,BM,Other
467.63750,0.00000,,General Public Use Family Radio Service,11FRS,FRS Ch 11,,FMN,M,Other
467.65000,0.00000,,General Public Use General Mobile Repeater Service GMRS,Common Use,467.6500,,FMN,BM,Other
467.66250,0.00000,,General Public Use Family Radio Service,12FRS,FRS Ch 12,,FMN,M,Other
467.67500,0.00000,,General Public Use General Mobile Repeater Service GMRS,Common Use,467.6750,,FMN,BM,Other
467.68750,0.00000,,General Public Use Family Radio Service,13FRS,FRS Ch 13,,FMN,M,Other
467.70000,0.00000,,General Public Use General Mobile Repeater Service GMRS,Common Use,467.7000,,FMN,BM,Other
467.71250,0.00000,,General Public Use Family Radio Service,14FRS,FRS Ch 14,,FMN,M,Other
467.72500,0.00000,,General Public Use General Mobile Repeater Service GMRS,Common Use,467.7250,,FMN,BM,Other
